id,prestamo_id,fecha,monto,interes_pagado,capital_pagado
1,1,2026-04-21,100.0,100.0,0.0
2,3,2026-04-13,100.0,100.0,0.0
11,6,2026-04-20,100.0,100.0,0.0
13,7,2026-04-27,100.0,100.0,0.0
14,8,2026-04-10,100.0,100.0,0.0
15,7,2026-05-06,100.0,100.0,0.0
19,8,2026-05-12,100.0,100.0,0.0
20,5,2026-05-14,100.0,56.0,44.0
21,10,2026-05-20,60.0,60.0,0.0
22,9,2026-05-23,40.0,40.0,0.0
23,1,2026-05-26,100.0,100.0,0.0
25,5,2026-06-11,80.0,47.2,32.8
26,2,2026-06-15,175.0,75.0,100.0
27,11,2026-06-15,160.0,60.0,100.0
28,8,2026-06-16,100.0,100.0,0.0
29,10,2026-06-21,60.0,60.0,0.0
